[2023-11-02 19:31:51.137] $GPVTG,23.71,T,,M,0.22,N,0.41,K,N*00
[2023-11-02 19:31:51.137] $GPGGA,183130.091,,,,,0,0,,,M,,M,,*48
[2023-11-02 19:31:51.137] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-02 19:31:51.137] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-02 19:31:51.137] $GPGSV,3,1,09,12,83,052,21,24,37,160,23,06,34,072,23,11,31,116,18,0*6E
[2023-11-02 19:31:51.137] $GPGSV,3,2,09,32,31,285,39,19,18,049,41,29,16,215,,28,13,313,36,0*64
[2023-11-02 19:31:51.137] $GPGSV,3,3,09,03,05,003,,0*59
[2023-11-02 19:31:51.137] $GLGSV,1,1,01,76,,,,1*78
[2023-11-02 19:31:51.153] $GPGLL,,,,,183130.091,V,N*7A
[2023-11-02 19:31:51.153] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-02 19:31:51.153] $GNRMC,183131.091,A,5216.7575,N,02048.5428,E,0.24,23.71,021123,,,A,V*3C
[2023-11-02 19:31:51.153] $GPVTG,23.71,T,,M,0.24,N,0.45,K,A*0D
[2023-11-02 19:31:51.153] $GPGGA,183131.091,5216.7575,N,02048.5428,E,1,5,1.45,252.2,M,39.0,M,,*50
[2023-11-02 19:31:51.153] $GNGSA,A,3,19,32,28,11,06,,,,,,,,1.75,1.45,0.98,1*06
[2023-11-02 19:31:51.153] $GNGSA,A,3,,,,,,,,,,,,,1.75,1.45,0.98,2*00
[2023-11-02 19:31:51.153] $GPGSV,3,1,10,12,83,052,20,24,37,160,24,06,34,072,24,11,31,116,20,0*6C
[2023-11-02 19:31:51.153] $GPGSV,3,2,10,32,31,285,40,37,30,179,,19,18,049,41,29,16,215,19,0*6E
[2023-11-02 19:31:51.153] $GPGSV,3,3,10,28,13,313,36,03,05,003,,0*6D
[2023-11-02 19:31:51.153] $GLGSV,1,1,02,70,,,,76,,,,1*7C
[2023-11-02 19:31:51.153] $GNGLL,5216.7575,N,02048.5428,E,183131.091,A,A*43
[2023-11-02 19:31:51.153] 2086.01.06 00:00:08
[2023-11-02 19:31:51.153] Message sent to the Astronode --> 
[2023-11-02 19:31:51.153] 35D82F291F6635670CFA48
[2023-11-02 19:31:51.153] Message received from the Astronode <-- 
[2023-11-02 19:31:51.153] B58E16
[2023-11-02 19:31:51.153] Geolocation values were set successfully.
[2023-11-02 19:31:51.153] Astronode payload: 1.8,28,0
[2023-11-02 19:31:51.153] NMEA coordinates: 52.279292,20.809047
[2023-11-02 19:31:51.153] Message sent to the Astronode --> 
[2023-11-02 19:31:51.153] 250100312E382C32382C3043BC
[2023-11-02 19:31:51.153] Message received from the Astronode <-- 
[2023-11-02 19:31:51.153] A50100C1A9
[2023-11-02 19:31:51.153] Payload was successfully queued.
[2023-11-02 19:31:51.156] Evt pin is high.
[2023-11-02 19:31:51.156] Message sent to the Astronode --> 
[2023-11-02 19:31:51.156] 65F3DD
[2023-11-02 19:31:51.156] Message received from the Astronode <-- 
[2023-11-02 19:31:51.156] E50A0253
[2023-11-02 19:31:51.156] Astronode has reset.
[2023-11-02 19:31:51.156] TX message pending.
[2023-11-02 19:31:51.156] Terminal has been reset.
[2023-11-02 19:31:51.156] Message sent to the Astronode --> 
[2023-11-02 19:31:51.156] 55A0EB
[2023-11-02 19:31:51.156] Message received from the Astronode <-- 
[2023-11-02 19:31:51.156] D5287A
[2023-11-02 19:31:51.156] The reset has been cleared.
[2023-11-02 19:32:31.611] Message sent to the Astronode --> 
[2023-11-02 19:32:31.611] 172683
[2023-11-02 19:32:31.642] Message received from the Astronode <-- 
[2023-11-02 19:32:31.642] 97DA6FFA0AE07A
[2023-11-02 19:32:31.642] RTC time since Astrocast Epoch (2018-01-01 00:00:00 UTC): 184184794s.
[2023-11-02 19:32:31.642] Message sent to the Astronode --> 
[2023-11-02 19:32:31.658] 18C972
[2023-11-02 19:32:31.682] Message received from the Astronode <-- 
[2023-11-02 19:32:31.682] 98CD0E000088A4
[2023-11-02 19:32:31.690] Next opportunity for communication with the Astrocast Network: 3789s.
[2023-11-02 19:32:31.690] Message sent to the Astronode --> 
[2023-11-02 19:32:31.690] 250100312E382C32382C3043BC
[2023-11-02 19:32:31.737] Message received from the Astronode <-- 
[2023-11-02 19:32:31.737] FF11257A47
[2023-11-02 19:32:31.737] [ERROR] DUPLICATE_ID : Failed to queue the payload because the Payload ID provided by the asset is already in use in the Astronode queue.
[2023-11-02 19:32:31.752] Payload failed to be queued.
[2023-11-02 19:33:31.462] Message sent to the Astronode --> 
[2023-11-02 19:33:31.465] 172683
[2023-11-02 19:33:31.481] Message received from the Astronode <-- 
[2023-11-02 19:33:31.497] 971670FA0A24E9
[2023-11-02 19:33:31.497] RTC time since Astrocast Epoch (2018-01-01 00:00:00 UTC): 184184854s.
[2023-11-02 19:33:31.497] Message sent to the Astronode --> 
[2023-11-02 19:33:31.497] 18C972
[2023-11-02 19:33:31.528] Message received from the Astronode <-- 
[2023-11-02 19:33:31.528] 98910E0000819E
[2023-11-02 19:33:31.528] Next opportunity for communication with the Astrocast Network: 3729s.
[2023-11-02 19:33:31.544] Message sent to the Astronode --> 
[2023-11-02 19:33:31.544] 250100312E382C32382C3043BC
[2023-11-02 19:33:31.591] Message received from the Astronode <-- 
[2023-11-02 19:33:31.591] FF11257A47
[2023-11-02 19:33:31.591] [ERROR] DUPLICATE_ID : Failed to queue the payload because the Payload ID provided by the asset is already in use in the Astronode queue.
